Birmingham,Alabama,"212,247"
Montgomery,Alabama,"200,481"
Mobile,Alabama,"194,675"
Huntsville,Alabama,"188,226"
Anchorage,Alaska,"301,010"
Phoenix,Arizona,"1,537,058"
Tucson,Arizona,"527,972"
Mesa,Arizona,"464,704"
Chandler,Arizona,"254,276"
Gilbert,Arizona,"239,277"
Glendale,Arizona,"237,517"
Scottsdale,Arizona,"230,512"
Tempe,Arizona,"172,816"
Peoria,Arizona,"166,934"
Surprise,Arizona,"126,275"
Little Rock,Arkansas,"197,706"
Los Angeles,California,"3,928,864"
San Diego,California,"1,381,069"
San Jose,California,"1,015,785"
San Francisco,California,"852,469"
Fresno,California,"515,986"
Sacramento,California,"485,199"
Long Beach,California,"473,577"
Oakland,California,"413,775"
Bakersfield,California,"368,759"
Anaheim,California,"346,997"
Santa Ana,California,"334,909"
Riverside,California,"319,504"
Stockton,California,"302,389"
Chula Vista,California,"260,988"
Irvine,California,"248,531"
Fremont,California,"228,758"
San Bernardino,California,"215,213"
Modesto,California,"209,286"
Oxnard,California,"205,437"
Fontana,California,"204,950"
Moreno Valley,California,"202,976"
Huntington Beach,California,"200,809"
Glendale,California,"200,167"
Santa Clarita,California,"181,557"
Garden Grove,California,"175,078"
Oceanside,California,"174,558"
Rancho Cucamonga,California,"174,305"
Santa Rosa,California,"174,170"
Ontario,California,"169,089"
Elk Grove,California,"163,553"
Corona,California,"161,486"
Lancaster,California,"161,043"
Palmdale,California,"158,279"
Salinas,California,"156,677"
Hayward,California,"154,612"
Pomona,California,"153,350"
Escondido,California,"150,243"
Sunnyvale,California,"149,980"
Torrance,California,"148,495"
Pasadena,California,"140,881"
Orange,California,"139,812"
Fullerton,California,"139,677"
Thousand Oaks,California,"129,342"
Visalia,California,"129,281"
Roseville,California,"128,615"
Concord,California,"127,522"
Simi Valley,California,"126,871"
Santa Clara,California,"122,192"
Victorville,California,"121,901"
Vallejo,California,"120,228"
Berkeley,California,"118,853"
El Monte,California,"116,631"
Downey,California,"114,172"
Costa Mesa,California,"112,784"
Carlsbad,California,"112,299"
Inglewood,California,"111,905"
Fairfield,California,"111,125"
Ventura,California,"109,484"
Temecula,California,"109,428"
Antioch,California,"108,930"
Richmond,California,"108,565"
West Covina,California,"108,455"
Murrieta,California,"108,368"
Norwalk,California,"107,096"
Daly City,California,"106,094"
Burbank,California,"105,368"
Santa Maria,California,"103,410"
El Cajon,California,"103,091"
San Mateo,California,"102,893"
Rialto,California,"102,741"
Clovis,California,"102,189"
Denver,Colorado,"663,862"
Colorado Springs,Colorado,"445,830"
Aurora,Colorado,"353,108"
Fort Collins,Colorado,"156,480"
Lakewood,Colorado,"149,643"
Thornton,Colorado,"130,307"
Arvada,Colorado,"113,574"
Westminster,Colorado,"112,090"
Pueblo,Colorado,"108,423"
Centennial,Colorado,"107,201"
Boulder,Colorado,"105,112"
Bridgeport,Connecticut,"147,612"
New Haven,Connecticut,"130,282"
Stamford,Connecticut,"128,278"
Hartford,Connecticut,"124,705"
Waterbury,Connecticut,"109,307"
Washington,District of Columbia,"658,893"
Jacksonville,Florida,"853,382"
Miami,Florida,"430,332"
Tampa,Florida,"358,699"
Orlando,Florida,"262,372"
St. Petersburg,Florida,"253,693"
Hialeah,Florida,"235,563"
Tallahassee,Florida,"188,107"
Fort Lauderdale,Florida,"176,013"
Port St. Lucie,Florida,"174,110"
Cape Coral,Florida,"169,854"
Pembroke Pines,Florida,"164,626"
Hollywood,Florida,"148,047"
Miramar,Florida,"134,989"
Gainesville,Florida,"128,460"
Coral Springs,Florida,"127,952"
Miami Gardens,Florida,"112,265"
Clearwater,Florida,"110,703"
Pompano Beach,Florida,"106,105"
Palm Bay,Florida,"105,838"
West Palm Beach,Florida,"104,031"
Lakeland,Florida,"102,346"
Atlanta,Georgia,"456,002"
Columbus,Georgia,"200,887"
Augusta,Georgia,"196,741"
Macon,Georgia,"153,691"
Savannah,Georgia,"144,352"
Athens,Georgia,"119,648"
Sandy Springs,Georgia,"101,908"
Honolulu,Hawai'i,"350,399"
Boise,Idaho,"216,282"
Chicago,Illinois,"2,722,389"
Aurora,Illinois,"200,456"
Rockford,Illinois,"149,123"
Joliet,Illinois,"147,928"
Naperville,Illinois,"146,128"
Springfield,Illinois,"116,809"
Peoria,Illinois,"115,828"
Elgin,Illinois,"111,117"
Indianapolis,Indiana,"848,788"
Fort Wayne,Indiana,"258,522"
Evansville,Indiana,"120,346"
South Bend,Indiana,"101,190"
Des Moines,Iowa,"209,220"
Cedar Rapids,Iowa,"129,195"
Davenport,Iowa,"102,448"
Wichita,Kansas,"388,413"
Overland Park,Kansas,"184,525"
Kansas City,Kansas,"149,636"
Olathe,Kansas,"133,062"
Topeka,Kansas,"127,215"
Louisville,Kentucky,"612,780"
Lexington,Kentucky,"310,797"
New Orleans,Louisiana,"384,320"
Baton Rouge,Louisiana,"228,895"
Shreveport,Louisiana,"198,242"
Lafayette,Louisiana,"126,066"
Baltimore,Maryland,"622,793"
Boston,Massachusetts,"655,884"
Worcester,Massachusetts,"183,016"
Springfield,Massachusetts,"153,991"
Lowell,Massachusetts,"109,945"
Cambridge,Massachusetts,"109,694"
Detroit,Michigan,"680,250"
Grand Rapids,Michigan,"193,792"
Warren,Michigan,"135,099"
Sterling Heights,Michigan,"131,741"
Ann Arbor,Michigan,"117,770"
Lansing,Michigan,"114,620"
Minneapolis,Minnesota,"407,207"
Saint Paul,Minnesota,"297,640"
Rochester,Minnesota,"111,402"
Jackson,Mississippi,"171,155"
Kansas City,Missouri,"470,800"
St. Louis,Missouri,"317,419"
Springfield,Missouri,"165,378"
Independence,Missouri,"117,494"
Columbia,Missouri,"116,906"
Billings,Montana,"108,869"
Omaha,Nebraska,"446,599"
Lincoln,Nebraska,"272,996"
Las Vegas,Nevada,"613,599"
Henderson,Nevada,"277,440"
Reno,Nevada,"236,995"
North Las Vegas,Nevada,"230,788"
Manchester,New Hampshire,"110,448"
Newark,New Jersey,"280,579"
Jersey City,New Jersey,"262,146"
Paterson,New Jersey,"146,753"
Elizabeth,New Jersey,"128,705"
Edison,New Jersey,"101,970"
Woodbridge,New Jersey,"100,824"
Albuquerque,New Mexico,"557,169"
Las Cruces,New Mexico,"101,408"
New York,New York,"8,491,079"
Buffalo,New York,"258,703"
Rochester,New York,"209,983"
Yonkers,New York,"200,667"
Syracuse,New York,"144,263"
Charlotte,North Carolina,"809,958"
Raleigh,North Carolina,"439,896"
Greensboro,North Carolina,"282,586"
Durham,North Carolina,"251,893"
Winstonï¿½Salem,North Carolina,"239,269"
Fayetteville,North Carolina,"203,948"
Cary,North Carolina,"155,227"
Wilmington,North Carolina,"113,657"
High Point,North Carolina,"108,629"
Fargo,North Dakota,"115,863"
Columbus,Ohio,"835,957"
Cleveland,Ohio,"389,521"
Cincinnati,Ohio,"298,165"
Toledo,Ohio,"281,031"
Akron,Ohio,"197,859"
Dayton,Ohio,"141,003"
Oklahoma City,Oklahoma,"620,602"
Tulsa,Oklahoma,"399,682"
Norman,Oklahoma,"118,040"
Broken Arrow,Oklahoma,"104,726"
Portland,Oregon,"619,360"
Salem,Oregon,"161,637"
Eugene,Oregon,"160,561"
Gresham,Oregon,"109,892"
Philadelphia,Pennsylvania,"1,560,297"
Pittsburgh,Pennsylvania,"305,412"
Allentown,Pennsylvania,"119,104"
Providence,Rhode Island,"179,154"
Columbia,South Carolina,"132,067"
Charleston,South Carolina,"130,113"
North Charleston,South Carolina,"106,749"
Sioux Falls,South Dakota,"168,586"
City,State,2014 estimate
Memphis,Tennessee,"656,861"
Nashville,Tennessee,"644,014"
Knoxville,Tennessee,"184,281"
Chattanooga,Tennessee,"173,778"
Clarksville,Tennessee,"146,806"
Murfreesboro,Tennessee,"120,954"
Houston,Texas,"2,239,558"
San Antonio,Texas,"1,436,697"
Dallas,Texas,"1,281,047"
Austin,Texas,"912,791"
Fort Worth,Texas,"812,238"
El Paso,Texas,"679,036"
Arlington,Texas,"383,204"
Corpus Christi,Texas,"320,434"
Plano,Texas,"278,480"
Laredo,Texas,"252,309"
Lubbock,Texas,"243,839"
Garland,Texas,"235,501"
Irving,Texas,"232,406"
Amarillo,Texas,"197,254"
Grand Prairie,Texas,"185,453"
Brownsville,Texas,"183,046"
McKinney,Texas,"156,767"
Pasadena,Texas,"153,887"
Frisco,Texas,"145,035"
Mesquite,Texas,"144,416"
McAllen,Texas,"138,596"
Killeen,Texas,"138,154"
Waco,Texas,"130,194"
Carrollton,Texas,"128,353"
Denton,Texas,"128,205"
Midland,Texas,"128,037"
Abilene,Texas,"120,958"
Beaumont,Texas,"117,585"
Odessa,Texas,"114,597"
Round Rock,Texas,"112,744"
Richardson,Texas,"108,617"
Wichita Falls,Texas,"105,114"
College Station,Texas,"103,483"
Pearland,Texas,"103,441"
Lewisville,Texas,"102,889"
Tyler,Texas,"101,421"
Salt Lake City,Utah,"190,884"
West Valley City,Utah,"134,495"
Provo,Utah,"114,801"
West Jordan,Utah,"110,920"
Virginia Beach,Virginia,"450,980"
Norfolk,Virginia,"245,428"
Chesapeake,Virginia,"233,371"
Richmond,Virginia,"217,853"
Newport News,Virginia,"182,965"
Alexandria,Virginia,"150,575"
Hampton,Virginia,"136,879"
Seattle,Washington,"668,342"
Spokane,Washington,"212,052"
Tacoma,Washington,"205,159"
Vancouver,Washington,"169,294"
Bellevue,Washington,"136,426"
Kent,Washington,"125,560"
Everett,Washington,"106,736"
Milwaukee,Wisconsin,"599,642"
Madison,Wisconsin,"245,691"
Green Bay,Wisconsin,"104,891"
